Name,Country,Rating,Pos_Review,Neg_Review
Lehoa,Việt Nam,8.0,Ngay gần chợ đêm và nhiều quán ăn ngon. Nhân viên lễ tân hỗ trợ gọi taxi rất nhan,
Lehoa,Vương Quốc Anh,9.0,"Mình ở 2 đêm, rất ưng ý với cách phục vụ. Phòng sạch, decor xinh",
Nguyen,Việt Nam,9.0,"Thiết kế nội thất hài hòa, thanh lịch – vừa hiện đại vừa có nét riêng.",
Vankien,Việt Nam,9.0,"Chất lượng dịch vụ vượt mong đợi, rất đáng tiền.",
Minh,Việt Nam,9.0,"Lễ tân ở đây dễ thương, chỉ tui nhiều chỗ vui chơi, toàn gần khách sạn, tiện lợi vô cùng, có điểm trừ nhỏ là phòng có tí xíu ồn nhưng vẫn oke hok sao",
Hahaha,Việt Nam,9.0,Nội thất trang nhã và mang lại cảm giác thư giãn.,khong co
Vang,Việt Nam,9.0,Cực kỳ gần mọi thứ tôi cần.,khong co
Binh,Việt Nam,9.0,"Phòng không to lắm mà ấm cúng, riêng tư, nhân viên dễ thương.",
Tran,Việt Nam,9.0,"Phòng thoáng, ánh sáng tự nhiên nhiều, thiết kế hiện đại.",
Liem,Việt Nam,9.0,"Phòng rộng hơn mong đợi, sạch sẽ và gọn gàng. Có cửa sổ nhìn ra phố rất chill.",Không có bàn làm việc riêng
Ngoc,Việt Nam,9.0,"Phòng sạch sẽ, giường ngủ thoải mái, chăn ga thơm. Vị trí ngay trung tâm",Ban đêm hơi ồn nếu ở phòng gần mặt đường.
Huy,Việt Nam,9.0,"Giường ngủ thoải mái, chăn gối sạch thơm, phòng dọn kỹ. Không gian chung sạch sẽ, có mùi thơm dễ chịu.",Tường cách âm chưa tốt
Hiền,Việt Nam,9.0,"Mọi thứ trong phòng đều hợp lý: ánh sáng tự nhiên, giường êm, không gian không chật chội. Ở vài hôm mà ngủ rất sâu, thấy khỏe hẳn ra.",
Minh,Việt Nam,9.0,"Phòng trang nhã, mọi chi tiết đều được chăm chút. Ở đây cảm giác như đang ở nhà – sạch sẽ, yên tĩnh và thoải mái từ phòng tới hành lang.",
Phạm,Việt Nam,9.0,"Thủ tục nhận phòng nhanh chóng, nhân viên xử lý chuyên nghiệp. Khách sạn có camera và bảo vệ 24/24.",Khu vực trước khách sạn hơi nhỏ
Đào,Việt Nam,9.0,"Không gian yên tĩnh, phù hợp nghỉ dưỡng. Phòng có mùi thơm nhẹ dễ chịu, tạo cảm giác sạch sẽ ngay từ lúc vào.",Bữa sáng hơi ít món
Dinh,Việt Nam,9.0,"Giá phòng hợp lý, đặc biệt so với vị trí ngay trung tâm quận 1. Dọn phòng kỹ, thay khăn và nước mỗi ngày.",Wi fi đôi khi chập chờn
Nguyen,Việt Nam,9.0,"Nội thất trong phòng mới, màu sắc nhã nhặn, tạo cảm giác dễ chịu. Vị trí gần trung tâm, di chuyển tiện lợi.",Buổi tối hơi ồn do gần đường lớn
Iu,Việt Nam,9.0,"Nội thất phòng hiện đại, giường êm, wifi mạnh. Không gian yên tĩnh, thích hợp nghỉ ngơi.",Tường cách âm chưa tốt
Mai,Việt Nam,9.0,"Không cần tìm xa xôi, ngay trung tâm luôn mà giá lại vừa túi tiền. Mình ưng!",
Kim,Việt Nam,9.0,"Điểm cộng lớn là thái độ phục vụ của nhân viên – rất nhiệt tình, chu đáo và dễ thương. Phòng tuy không quá lớn nhưng bố trí hợp lý, đủ tiện nghi và có máy lạnh hoạt động tốt. Rất phù hợp với khách du lịch đi ít ngày.",Wi fi không ổn định lắm
Thu,Việt Nam,9.0,"Nhân viên hỗ trợ đặt xe, chỉ dẫn địa điểm du lịch rất chu đáo.",Ánh sáng trong phòng hơi yếu
Tu,Việt Nam,9.0,"Nhân viên lễ tân làm việc nhanh chóng, thủ tục nhận/trả phòng rất tiện lợi.",Bữa sáng không phong phú
Hien,Việt Nam,9.0,"Khách sạn rất sạch sẽ, nhân viên thân thiện và hỗ trợ nhiệt tình. Vị trí trung tâm, đi lại thuận tiện. Mình chắc chắn sẽ quay lại",
Hai,Việt Nam,9.0,"Check-in nhanh gọn, phòng sạch, trang thiết bị đầy đủ.",
Hao,Việt Nam,9.0,"Không cần quá nhiều tiện nghi, chỉ cần chỗ sạch, an toàn và gần chỗ chơi – ở đây có đủ hết. Lại còn có chỗ để xe máy trong nhà.",
Ho,Việt Nam,9.0,"Ban đầu chỉ tính nghỉ chân 1 đêm cho tiện công việc, mà ở xong thấy tiếc vì không book thêm. Phòng sạch, nhân viên cười suốt, kiểu gì cũng thấy dễ chịu.",
Van,Việt Nam,9.0,"Không gian thoải mái, giường êm, toilet sạch. Có thang máy và bãi đỗ xe máy.",
Hong,Việt Nam,9.0,"Hình ảnh và thực tế giống nhau, không bị ‘lừa hình’ như nhiều chỗ khác. Vị trí trung tâm nhưng không ồn ào. Rất đáng để nghỉ lại.",
Hoài,Việt Nam,9.0,"Ngay gần chợ Bến Thành, thích hợp cho ai lần đầu đến TP.HCM. Phòng không lớn nhưng thiết kế thông minh, tiện nghi đầy đủ. Đi đâu cũng tiện.",
Thương,Việt Nam,9.0,"Không gian yên tĩnh, gọn gàng, mình cảm thấy rất thư giãn khi nghỉ ở đây.",
Tran,Việt Nam,9.0,"Phòng ấm cúng, nhân viên dễ thương, không khí yên bình. Hành lang hơi tối xíu thôi.",
Hoang,Việt Nam,9.0,"Lễ tân thân thiện, hay trò chuyện. Có điều phòng mình hơi thiếu ánh sáng tự nhiên.",
Nguyễn,Việt Nam,9.0,"Nhân viên cực kỳ thân thiện, gặp lúc nào cũng chào hỏi niềm nở. Phòng gọn gàng, có bàn làm việc tiện lợi. Không gian xung quanh yên tĩnh, ngủ ngon.",Hơi thiếu móc treo đồ trong phòng
Tran,Việt Nam,9.0,"Mọi thứ vừa đủ, không phô trương nhưng tinh tế đến từng chi tiết nhỏ.",
Mai,Việt Nam,9.0,"Phòng đẹp, thiết kế sang và giường cực kỳ êm ái.",
Như,Việt Nam,9.0,"Khách sạn hỗ trợ sắp phòng gần nhau, tiện di chuyển. Lễ tân thân thiện, lúc tụi mình về trễ cũng không phiền. Có sảnh nhỏ ngồi chơi buổi tối.",Wi-Fi hơi yếu
Quỳnh,Việt Nam,9.0,"Nhân viên dễ thương, hỗ trợ tụi mình đặt tour luôn. Có chỗ để xe máy, có thang máy. Vị trí tiện di chuyển, gần nhiều quán ăn ngon.",điều hòa hoạt động ổn nhưng hơi ồn
Mỹ,Việt Nam,9.0,"Phòng sạch sẽ, nhân viên lễ tân thân thiện và hỗ trợ nhiệt tình. Vị trí gần trung tâm, tiện đi lại. Giá cả hợp lý.","Cách âm chưa tốt, dễ nghe tiếng ồn từ phòng bên cạnh"
Đỗ,Việt Nam,9.0,"Khách sạn có thiết kế hiện đại, dễ thương, không gian rất thoải mái. Nhân viên rất thân thiện và luôn sẵn sàng giúp đỡ khi cần. Tôi đặc biệt yêu thích khu vực lễ tân, luôn có nhân viên túc trực và hỗ trợ 24/7",Mặc dù phòng khá rộng rãi nhưng tôi thấy ánh sáng trong phòng hơi tối
Pham,Việt Nam,7.0,"Dịch vụ tại khách sạn rất tốt, các phòng được giữ gìn sạch sẽ. Tôi đặc biệt ấn tượng với sự chú trọng đến chi tiết của nhân viên lễ tân.",
Nguyen,Việt Nam,8.0,"Khách sạn nằm ở vị trí đắc địa, gần các điểm tham quan nổi tiếng. Phòng đẹp, đầy đủ tiện nghi. Dịch vụ phòng tuyệt vời và rất nhanh chóng. Một nơi tuyệt vời để nghỉ ngơi.","Tuy nhiên, tôi cảm thấy phòng hơi thiếu ánh sáng tự nhiên"
Phillip,Việt Nam,1.0,None.,"I booked a room at this hotel well in advance, received a confirmation number, and even called ahead to double-check. When I arrived, they told me there was no room available under my reservation. No apology, no assistance, no solution, just a blank stare and a ""nothing we can do"" attitude.
It became clear that this is nothing short of a scam. Not just my reservation, but many other ones in the same day.
Save yourself the stress and stay literally anywhere else. These people are a bunch of thieves and liars. Never again.
Tôi đã đặt phòng tại khách sạn này, nhận được mã xác nhận và thậm chí còn gọi trước để kiểm tra lại. Khi tôi đến nơi, họ nói rằng không có phòng nào được đặt dưới tên tôi. Không một lời xin lỗi, không sự hỗ trợ, không giải pháp – chỉ là cái nhìn trống rỗng và thái độ ""chúng tôi không thể làm gì"".
Rõ ràng đây chẳng khác gì một trò lừa đảo. Không chỉ riêng đặt phòng của tôi, mà còn nhiều người khác cũng gặp vấn đề tương tự trong cùng một ngày.

**UPDATE**: WOW! Don’t give me this fake apology - your message is full of lies. There was no confusion. I had a valid reservation, and you completely failed to honor it. Your staff didn’t help me at all, and now you're trying to twist the truth to make it sound like it was just a “miscommunication.” That’s 100% dishonest.
If you really had a room ready, why was I told there wasn’t one? Why was nothing done to fix the situation? Your team did nothing to support me, and now you’re just trying to avoid blame. ALSO, there were a bunch of people who had the same issue like me that date. Wanna proof? More than happy to send you and your team the full video.
Stop pretending like you care. Get your act together.
CẬP NHẬT: Đừng gửi cho tôi cái lời xin lỗi giả tạo đó – tin nhắn của bạn toàn là dối trá. Không hề có sự nhầm lẫn nào cả. Hôm đó có rất nhiều người gặp tình trạng giống như tôi. Muốn bằng chứng à? Tôi hoàn toàn sẵn sàng gửi cho bạn và đội ngũ của bạn toàn bộ video."
Truong,Việt Nam,10.0,Có bồn tắm trong phòng deluxe rất thoải mái. Thích hợp cho khách du lịch thích tiệc tùng. Có dịch vụ đưa đón sân bay.,Không có
Minh,Việt Nam,1.0,Nào đã kịp ở đâu mà biết tốt ở đâu,Đã đặt phòng từ 1 tháng trước nhưng đến nơi thì không những nhà mình mà những gia đình khác đi từ xa đến cũng không được nhận phòng. Hỏi thì chối bay chối biến là bị lỗi nhưng khi mình cố hỏi nhân viên thì hóa ra là chủ ham lợi ích nên đã bùng phòng của các khách khác đã đặt trước để sát lễ cho thuê được với giá cao hơn nghe nói là 40 50 triệu. Khi đụng chuyện thì chủ trốn tránh trách nhiệm mà để cho 2 con bé nhân viên làm thuê chịu trận với khách. Đến nỗi các em khóc vì bị khách chửi mà bất lực không thể làm gì. Tôi sẽ cho công an vào cuộc xử lý. Thứ làm ăn chộp giật này đừng hòng tồn tại ở Sài Gòn
Binhdat,Vanuatu,10.0,"Nhân viên phục vụ chuyên nghiệp, lịch sự và hỗ trợ khách hàng rất tận tâm",
Mai,Việt Nam,1.0,"""Sự kiên nhẫn"" đến bất ngờ cho sự lừa đảo của cả ekip tại khách sạn. Kiên nhẫn lừa đảo đến phút cuối cùng, đối diện với rất nhiều khách.","Đây là 1 khách sạn lừa đảo với nhiều tên khác nhau theo thời gian. Tra trên google map là 1 tên khác, trên booking là 1 tên khác, và biển hiệu tại khách sạn lại là 1 tên khác. Thật kinh khủng vì cả trăm người bị lừa trong cùng 1 ngày. Họ vẫn nhận booking trong khi số phòng đã vượt giới hạn, sau đó đẩy qua 1 khách sạn khác tệ hơn nhưng giá vẫn giữ nguyên. Thậm chí để khách đợi 4-5 tiếng và không hề có bất kỳ đền bù nào cho khách hàng. Cần yêu cầu công an và sở văn hóa & du lịch can thiệp để hạn chế khách bị lừa. Rất rất bức xúc với cách làm ăn vô đạo đức như thế này. Không hiểu sao họ có thể tồn tại lâu dài với chiêu thức lừa đảo 1 cách trắng trợn tại trung tâm sầm uất nhất tại Tp. HCM"
Gia,Việt Nam,10.0,"Phòng tuy nhỏ nhưng tiện nghi đủ đầy, mọi thứ được chăm chút kỹ lưỡng. Tôi đặc biệt ấn tượng với sự thân thiện của nhân viên lễ tân",Không có
Dyng,Việt Nam,10.0,"Dịch vụ chuyên nghiệp, không có gì để chê.",khong
Nanh,Việt Nam,10.0,"Vị trí thuận tiện, gần trung tâm và dễ di chuyển.",khong co
Bích,Việt Nam,10.0,"Không bị làm phiền, cảm giác an toàn.",
Hảo,Việt Nam,10.0,Gặp vấn đề được xử lý ngay.,
Kim,Việt Nam,10.0,"Khách sạn có thiết kế gần gũi thiên nhiên, nhiều cây xanh, tạo cảm giác thư giãn. Rất phù hợp với người thích sự yên tĩnh.",
Ngoc,Việt Nam,10.0,"Dịch vụ rất tốt, nhân viên hỗ trợ nhiệt tình từ lúc check-in đến check-out.",
Nguyễn,Úc,10.0,"Ngay khi bước vào khách sạn, lễ tân đã chào đón tôi rất thân thiện và giúp tôi làm thủ tục nhận phòng nhanh chóng, cảm giác như ở nhà luôn.",
Hotuan,Mỹ,10.0,Chúng tôi đi bộ đến mọi điểm du lịch chính mà không cần bắt taxi.,
Trieuhieu,Việt Nam,10.0,"Tôi suýt quên chuyến bay sớm, nhưng anh ấy nhắc và đặt taxi luôn cho tôi — cực kỳ chuyên nghiệp.",
Ngodung,Việt Nam,10.0,"Anh ấy xách hết hành lý nặng giúp tôi mà không cần yêu cầu, lại còn luôn cười rất tươi.",
Lê,Việt Nam,10.0,"Tôi sẽ quay lại nếu có dịp, vì cảm giác như được tận hưởng những dịch vụ cao cấp nhưng không hề quá đắt đỏ.",
My,Việt Nam,10.0,Không có cảm giác mình là khách lạ – mọi người đối xử rất gần gũi và tự nhiên.,
Hoang,Việt Nam,10.0,"Đi đâu cũng gần, tiện đủ thứ đã đến rất nhiều lần, rcm các bạn đến ở nhé.",
Binhchau,Việt Nam,10.0,"Wifi mạnh, thích hợp cho cả du lịch lẫn công tác.",
Đình,Việt Nam,10.0,"Dịch vụ tuyệt vời, nhân viên thân thiện và nhiệt tình.",
Hồ,Việt Nam,10.0,"Phòng sạch sẽ, nhân viên dễ thương.",
Nguyen,Việt Nam,10.0,Thủ tục trả phòng nhanh chóng và dễ dàng.,khong co
高橋,Trung Quốc,10.0,性价比很高，非常划算。,
Dat,Việt Nam,10.0,"Bước ra là có chè, bún, phở… khỏi lo bụng đói ban đêm.",
Lê,Việt Nam,10.0,"Có cửa sổ lớn nhìn ra ngoài, không bị bí như mấy chỗ khác.",
Hung,Việt Nam,10.0,"Check-in nhanh, không phải chờ lâu.",
Hải,Việt Nam,10.0,Chuyến đi này đáng nhớ nhờ sự phục vụ tuyệt vời của khách sạn sẽ giới thiệu cho bạn bè và quay lại sớm!,
Quế,Việt Nam,10.0,Dịch vụ quá tuyệt vời! Từ lúc check-in đến check-out đều rất nhanh chóng và chu đáo.,
Su,Việt Nam,10.0,"Thường thì hình lung linh hơn thực tế, mà ở đây thì giống 100%. Nệm êm, phòng sạch, máy lạnh mát, WC riêng từng phòng.",
Le,Việt Nam,10.0,"Buổi tối hơi ồn do gần quán bar. Nhân viên dễ thương, buffet sáng ngon.",
Hoài,Việt Nam,10.0,"Phòng ở gọn gàng, nhân viên thân thiện. Bữa sáng không nhiều món nhưng chất lượng ổn, ăn vừa miệng. Vị trí ngay trung tâm nên đi đâu cũng tiện. Rất phù hợp cho khách công tác ngắn ngày.",
Nguyễn,Việt Nam,10.0,"Mình đánh giá cao thái độ nhân viên, lúc nào cũng cười nói dễ thương, khu vực sảnh nhìn đẹp và sạch.",Không có
Chả,Việt Nam,10.0,"Ở thoải mái, ăn sáng ngon, nhân viên hỗ trợ rất nhiệt tình",Không có
Phan,Việt Nam,10.0,"Ở đây xong chỉ muốn ở thêm 😭 Phòng sạch, giường êm, máy lạnh mát lạnh. Mọi thứ đều đúng như quảng cáo. Nhân viên thì khỏi chê, dễ thương dã man.",
Linh,Việt Nam,10.0,"Giường rộng, nệm êm, ngủ rất thoải mái. Có tủ lạnh nhỏ trong phòng, tiện để đồ ăn uống.",Không có
Huynh,Việt Nam,10.0,"Một nơi lưu trú nhỏ xinh, mà lại khiến mình nhớ mãi vì cách họ chăm sóc khách.",
Bùi,Việt Nam,10.0,"Phòng có cửa sổ lớn, đón ánh sáng tự nhiên rất thích. Wifi mạnh, làm việc online ổn áp. Gần siêu thị tiện lợi, mua đồ đêm cũng dễ.",Không có
Tiên,Việt Nam,10.0,"Dịch vụ chuyên nghiệp, gọi lễ tân hỗ trợ gì là có ngay. Phòng rộng, thoáng, dọn dẹp kỹ. Giá hợp lý với chất lượng.","Gối hơi cao, nằm không quen thì có thể hơi khó ngủ lúc đầu."
Thư,Việt Nam,10.0,"Phòng được thiết kế đẹp, hiện đại và sạch sẽ. Giường êm, chăn gối thơm tho, tạo cảm giác dễ chịu khi nghỉ ngơi. Máy lạnh và nước nóng hoạt động tốt.",Không có
Tran,Việt Nam,10.0,"Đặt phòng sát giờ do lịch công tác thay đổi, khách sạn vẫn hỗ trợ check-in nhanh. Nhân viên lễ tân cực kỳ nhiệt tình",Không có
Vu,Việt Nam,10.0,"Khách sạn không quá nổi bật nhưng phòng sạch, có đầy đủ tiện nghi cơ bản như máy lạnh, máy sấy tóc, nước nóng. Nhân viên dễ thương, giúp mình gọi xe lúc trời mưa.",Hài lòng
To,Việt Nam,10.0,"Ở 1 đêm thấy khá ổn, phòng có nước nóng, TV, máy lạnh đầy đủ. Khu vực xung quanh an ninh. Check-in nhanh gọn, không rườm rà.",Không có
Luong,Việt Nam,10.0,"Nhân viên rất thân thiện, hỗ trợ nhiệt tình từ lúc nhận phòng đến lúc trả phòng. Phòng được dọn kỹ, mùi dễ chịu",Không có
Văn,Việt Nam,6.0,"Khách sạn nằm ở trung tâm thành phố, dễ dàng di chuyển đến các địa điểm tham quan. Nhân viên phục vụ nhiệt tình, thân thiện và sẵn sàng hỗ trợ khách hàng 24/7",Một số nhân viên mới có thể thiếu kinh nghiệm trong xử lý tình huống.
Jeweleon,Quần đảo Virgin thuộc Hoa Kỳ,9.0,"Clean hotel, good service, friendly staff are big pluses.",
Kelly,Úc,8.0,Location,"The hotel itself was nice and clean, and the location was great—really convenient and easy to get around. At first, I found the staff a little unfriendly, but once I warmed up to them, they became much more pleasant and helpful.

Unfortunately, my last impression was a disappointing one. When I returned, I saw several families being turned away at the front desk due to overbooking. One family, who had travelled to see the 50-year anniversary celebration, had a young boy who was in tears—it was honestly heartbreaking. And it wasn’t just them; at least six families were in the same situation. What made it worse was that the hotel still had rooms available online—but at drastically inflated prices, sometimes 8 to 15 times what I had paid. That felt really unfair and left a sour taste at the end of an otherwise decent stay."
White,Mỹ,9.0,The lobby and the room looked amazing.,The staff seemed overwhelmed at sometime.
Lilia,Mỹ,9.0,"Front desk was helpful and fast in responding to requests. Sometimes they were busy, but never ignored us.",
Stallings,Mỹ,8.0,"Perfect location, close to shops and restaurants. Just a bit noisy at night due to nearby traffic.",
Tryphena,Quần đảo Virgin thuộc Hoa Kỳ,9.0,"The staff work very dedicatedly, I am really impressed.",
Riker,Mỹ,9.0,The receptionists greeted me with warm smiles and made check-in a breeze. Just had to wait a couple minutes because they were helping another guest.,
Ritchie,Úc,8.0,"Located near the market, basic breakfast.",My air conditioner wasn't very cool.
Matthew,Vương Quốc Anh,9.0,Lovely lobby and common spaces.,
Lucasta,Quần đảo Virgin thuộc Hoa Kỳ,9.0,"Everything is fine, from service to staff attitude. Worth coming back!",
Chin,Mỹ,9.0,,"Free breakfast exceeded expectations, hot and delicious. Airy room, comfy bed, great value right in the city center."
Robinett,Mỹ,9.0,"Excellent service, front desk helped us get a taxi super fast. Room was quiet, Wi-Fi was strong.",
Tooley,Mỹ,9.0,"Great breakfast with both Asian and Western dishes. Spacious, clean rooms. Friendly 24/7 front desk staff.",
Koray,Úc,9.0,"The room was spotless and smelled fresh, although the bathroom mirror had a small smudge.",Room Cleanliness
Hamilton,Mỹ,9.0,The lighting was adjustable and gave a cozy vibe. It just took me a moment to figure out the control panel.,
Clarence,Ukraine,9.0,"Clean room, friendly staff, and great location. Just wish the pillows were a bit softer. Would still stay again!",
Dinhthang,Việt Nam,9.0,"Beautiful view from the room, especially at night.",nothing
Binhduc,Việt Nam,9.0,Everything was well organized and spotless.,nothing
Hanh,Vanuatu,9.0,I gud blong mi go long ol shop mo sihtsin. Staff oli fren mo oli helpem mi long evri samting.,
Osmund,Đông Timor,9.0,"Excellent service, good breakfast, nice atmosphere",
Yavuz,Bahamas,9.0,"The staff is attentive, ensuring a pleasant experience throughout your stay",
Urpan,Butan,7.0,"Location. Just 7 minutes walk from Ben Thank Market. If you are a walker, a lot of attractions (Cafe apartment, Ben Thang Market, Walking Street) are at a walking distance. Friendly & Helpful Staffs.",Ants in the room.
Ruth,Ireland (Ai Len),9.0,"Excellent location, room was very comfortable and I slept well. Excellent air conditioning. Overall very good value.","Staff appeared a bit disorganised at times. Their communication was inconsistent. Did not advise me that I needed to get my key reset on the day I extended my stay despite seeing me that same morning. Housekeeping at irregular times eg after 12pm on some days- I would argue this is quite late.  They really need to sort out this issue with the hotel name on google maps. The hotel appears to have identity crisis as it does not know if it is KAS hotel (visible sign still there), Walhalla (location on google maps which you need to use for Grab/taxi) or Saigon Premium. This should be sorted, reviews have been flagging it for months. Until it is sorted, all this should be clearly communicated to the customer upon reservation because the hotel is really letting itself down in this way if we have to rely on reviews to get the information."
Karaaslan,Mỹ,9.0,Check-in was fast and easy. No problems at all.,nothing
Sahin,Mỹ,9.0,"Clean rooms, friendly staff. Great value for the price!",nothing
Noelle,Vương Quốc Anh,9.0,"The room was spotless, staff were super friendly, and the hotel is right in the heart of the city!",
Lourdes,Vương Quốc Anh,9.0,I felt right at home. There’s no reason not to return!,
Giang,Việt Nam,9.0,"The staff were friendly and very responsive, which made check-in and any requests super easy.","However, the room felt a bit smaller than expected and lacked natural light."
Diermeier,Vương Quốc Anh,9.0,Good enough for a quick stopover. Basic but clean and safe.,
Donnie,Vương Quốc Anh,9.0,"The location is convenient, the bed was comfortable.","The hotel feels a bit outdated in some areas, especially the bathroom."
Arslan,Burundi,9.0,"Ihoteri ni nziza. Icyumba gisukuye, abakozi baritonda.",
Sones,Mỹ,9.0,"Booked it late but everything went smoothly. Room ready, staff very welcoming.",
Ravetz,Mỹ,9.0,"Quiet, clean, fast Wi-Fi. The location helped me get around quickly. Smooth check-in, no hassle.",
Cetin,Mỹ,9.0,I really appreciated the cleanliness and the daily housekeeping. Spotless every time,nothing
Kilic,Mỹ,9.0,One of the best hotels I’ve ever stayed in. Would definitely come back again.,nothing
Ozturk,Mỹ,9.0,Breakfast was excellent with a variety of fresh and tasty options each morning,nothing
Matthew,Úc,8.0,"Good size room, with fairly good amenities including a bath tub which is not common at this price. The bed was pretty comfortable and the room was clean.","It's the little things, the TV didn't work on arrival, so I informed them and came back after they said it had been sorted to find the same issue. A smart TV would be a welcome addition. They have an old school movie app box thing that is basically useless and has no movies or movie related apps installed.

The hotel seems to have a name complex and can't decide how to identify itself, on Booking.com it's Saigon Premium hotel, the sign out front says Kas Premium hotel and if you go on Grab app there was two other names, but Saigon Premium hotel was not listed. 
 
The room has tea and coffee making facilities, but weirdly you'll find the kettle in the wardrobe where the plug is located to boil it, but the cord is just a little too short to reach the outlet, so it semi hangs while boiling. The flooring has large gaps in sections. 

The breakfast included doesn't resemble anything near what it pictured on Booking.com. Even in the restaurant while arriving for my first ""Free"" breakfast I was asked what I wanted out of the fresh cooked items on the menu. To be shown a picture of 6 different items from omelette to other items. I decided to go with ""Eggs Opalo"" or something similar I can remember the name, but it looked good, fluffy eggs with avocado and tomato etc. Only to find out that when it came out it was just X2 Sunnyside up eggs on a plate, alone! Nothing else."
Emilyn,Philippines,8.0,"I love the location—it's close to everything I need like salons, 7-Eleven, parks, markets, and more","Currently, the hotel is listed as ""Walhalla Hotel,"" not ""Saigon Premium Hotel."" In fact, ""Saigon Premium Hotel"" does not appear on Google Maps or in the Grab app. So, if you're coming from the bus station or airport, make sure to search for or pin the location as ""Walhalla Hotel"" instead."
Emilyn,Philippines,8.0,"I love the location—it's close to everything I need like salons, 7-Eleven, parks, markets, and more.","Currently, the hotel is listed as ""Walhalla Hotel,"" not ""Saigon Premium Hotel."" In fact, ""Saigon Premium Hotel"" does not appear on Google Maps or in the Grab app. So, if you're coming from the bus station or airport, make sure to search for or pin the location as ""Walhalla Hotel"" instead."
Emilyn,Philippines,8.0,"I love the location—it's close to everything I need like salons, 7-Eleven, parks, markets, and more.","Currently, the hotel is listed as ""Walhalla Hotel,"" not ""Saigon Premium Hotel."" In fact, ""Saigon Premium Hotel"" does not appear on Google Maps or in the Grab app. So, if you're coming from the bus station or airport, make sure to search for or pin the location as ""Walhalla Hotel"" instead."
Yuhui,Trung Quốc,8.0,"It's a very comfortable and delicate hotel and the location is so convenient.
I super appreciated the girl at the front dest, who welcomed us that day. Helped us a lot.",The breakfast needs to be more choice and take carefully of the quality.
Anderson,Vương Quốc Anh,8.0,Breakfast was delicious with a good variety of options,
Dianne,Vương Quốc Anh,8.0,"Amazing value for the price , we got more than we expected!",
Carlee,Vương Quốc Anh,8.0,"The room was spotless and well-decorated, with a stunning view",
Gwen,Úc,9.0,"Great location, it closes to everything we needed: restaurants, public transport, coffee,..",
Ava,Mỹ,9.0,They went out of their way to help us book a taxi – fantastic hospitality. A welcome drink would’ve been a nice extra.,
Barnhart,Mỹ,9.0,"Lovely room with a great city view. The receptionists were polite and helpful. One small thing—the carpet looked a bit worn out, but everything else was spotless.",
